time_iso8601,stars_cumulative
2023-08-06 00:00:00+00:00,1176
2023-08-07 00:00:00+00:00,1179
2023-08-08 00:00:00+00:00,1180
2023-08-09 00:00:00+00:00,1182
2023-08-11 00:00:00+00:00,1183
2023-08-12 00:00:00+00:00,1185
2023-08-14 00:00:00+00:00,1188
2023-08-15 00:00:00+00:00,1189
2023-08-16 00:00:00+00:00,1190
2023-08-17 00:00:00+00:00,1191
2023-08-18 00:00:00+00:00,1192
2023-08-21 00:00:00+00:00,1193
2023-08-23 00:00:00+00:00,1194
2023-08-25 00:00:00+00:00,1196
2023-08-26 00:00:00+00:00,1199
2023-08-27 00:00:00+00:00,1200
2023-08-28 00:00:00+00:00,1203
2023-08-29 00:00:00+00:00,1205
2023-08-30 00:00:00+00:00,1208
2023-08-31 00:00:00+00:00,1209
2023-09-04 00:00:00+00:00,1212
2023-09-05 00:00:00+00:00,1216
2023-09-06 00:00:00+00:00,1218
2023-09-07 00:00:00+00:00,1221
2023-09-08 00:00:00+00:00,1222
2023-09-10 00:00:00+00:00,1225
2023-09-11 00:00:00+00:00,1228
2023-09-12 00:00:00+00:00,1230
2023-09-13 00:00:00+00:00,1231
2023-09-14 00:00:00+00:00,1232
2023-09-15 00:00:00+00:00,1233
2023-09-16 00:00:00+00:00,1234
2023-09-17 00:00:00+00:00,1235
2023-09-18 00:00:00+00:00,1236
2023-09-19 00:00:00+00:00,1237
2023-09-22 00:00:00+00:00,1240
2023-09-23 00:00:00+00:00,1242
2023-09-25 00:00:00+00:00,1245
2023-09-26 00:00:00+00:00,1247
2023-09-29 00:00:00+00:00,1249
2023-10-02 00:00:00+00:00,1251
2023-10-06 00:00:00+00:00,1253
2023-10-07 00:00:00+00:00,1256
2023-10-08 00:00:00+00:00,1261
2023-10-09 00:00:00+00:00,1265
2023-10-10 00:00:00+00:00,1273
2023-10-11 00:00:00+00:00,1274
2023-10-12 00:00:00+00:00,1286
2023-10-13 00:00:00+00:00,1291
2023-10-14 00:00:00+00:00,1292
2023-10-17 00:00:00+00:00,1293
2023-10-20 00:00:00+00:00,1295
2023-10-21 00:00:00+00:00,1296
2023-10-22 00:00:00+00:00,1297
2023-10-23 00:00:00+00:00,1300
2023-10-24 00:00:00+00:00,1301
2023-10-26 00:00:00+00:00,1302
2023-10-27 00:00:00+00:00,1304
2023-10-28 00:00:00+00:00,1305
2023-10-31 00:00:00+00:00,1306
2023-11-01 00:00:00+00:00,1307
2023-11-02 00:00:00+00:00,1308
2023-11-03 00:00:00+00:00,1309
2023-11-07 00:00:00+00:00,1310
2023-11-09 00:00:00+00:00,1311
2023-11-10 00:00:00+00:00,1313
2023-11-11 00:00:00+00:00,1314
2023-11-13 00:00:00+00:00,1315
2023-11-14 00:00:00+00:00,1317
2023-11-15 00:00:00+00:00,1318
2023-11-20 00:00:00+00:00,1320
2023-11-21 00:00:00+00:00,1322
