time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-01 00:00:00+00:00,2,2,63,34
2023-08-02 00:00:00+00:00,2,2,128,32
2023-08-03 00:00:00+00:00,2,2,185,49
2023-08-04 00:00:00+00:00,4,4,112,32
2023-08-05 00:00:00+00:00,2,2,33,17
2023-08-06 00:00:00+00:00,4,4,21,11
2023-08-07 00:00:00+00:00,4,4,228,60
2023-08-08 00:00:00+00:00,4,4,108,37
2023-08-09 00:00:00+00:00,6,6,207,70
2023-08-10 00:00:00+00:00,1,1,162,38
2023-08-11 00:00:00+00:00,2,2,56,37
2023-08-12 00:00:00+00:00,2,2,26,10
2023-08-13 00:00:00+00:00,3,3,97,24
2023-08-14 00:00:00+00:00,3,3,78,42
2023-08-15 00:00:00+00:00,2,2,91,31
2023-08-16 00:00:00+00:00,1,1,41,27
2023-08-17 00:00:00+00:00,1,1,91,28
2023-08-18 00:00:00+00:00,3,3,42,17
2023-08-19 00:00:00+00:00,2,2,7,5
2023-08-20 00:00:00+00:00,1,1,15,7
2023-08-21 00:00:00+00:00,3,3,73,20
2023-08-22 00:00:00+00:00,2,2,38,25
2023-08-23 00:00:00+00:00,1,1,112,35
2023-08-24 00:00:00+00:00,2,2,154,40
2023-08-25 00:00:00+00:00,5,5,112,49
2023-08-26 00:00:00+00:00,5,5,82,33
2023-08-27 00:00:00+00:00,1,1,57,27
2023-08-28 00:00:00+00:00,3,3,99,33
2023-08-29 00:00:00+00:00,4,4,164,31
2023-08-30 00:00:00+00:00,3,3,91,37
2023-08-31 00:00:00+00:00,7,6,42,26
2023-09-01 00:00:00+00:00,4,4,70,20
2023-09-02 00:00:00+00:00,1,1,35,6
2023-09-03 00:00:00+00:00,3,3,30,18
2023-09-04 00:00:00+00:00,4,4,213,89
2023-09-05 00:00:00+00:00,3,3,194,80
2023-09-06 00:00:00+00:00,4,4,57,31
2023-09-07 00:00:00+00:00,4,3,204,62
2023-09-08 00:00:00+00:00,1,1,117,51
2023-09-09 00:00:00+00:00,3,3,51,20
2023-09-10 00:00:00+00:00,1,1,80,23
2023-09-11 00:00:00+00:00,2,2,69,39
2023-09-12 00:00:00+00:00,4,4,67,35
2023-09-13 00:00:00+00:00,7,3,95,29
2023-09-14 00:00:00+00:00,7,4,39,19
2023-09-15 00:00:00+00:00,3,3,42,17
2023-09-16 00:00:00+00:00,6,3,14,5
2023-09-17 00:00:00+00:00,1,1,81,10
2023-09-18 00:00:00+00:00,4,4,135,21
2023-09-19 00:00:00+00:00,1,1,89,29
2023-09-20 00:00:00+00:00,1,1,61,18
2023-09-21 00:00:00+00:00,11,3,80,22
2023-09-22 00:00:00+00:00,2,2,138,26
2023-09-23 00:00:00+00:00,1,1,44,12
2023-09-24 00:00:00+00:00,3,3,31,13
2023-09-25 00:00:00+00:00,3,3,93,41
2023-09-26 00:00:00+00:00,4,3,62,36
2023-09-27 00:00:00+00:00,1,1,66,24
2023-09-28 00:00:00+00:00,2,2,44,19
2023-09-29 00:00:00+00:00,1,1,51,29
2023-09-30 00:00:00+00:00,1,1,17,12
2023-10-01 00:00:00+00:00,3,3,12,9
2023-10-02 00:00:00+00:00,3,3,83,25
2023-10-03 00:00:00+00:00,2,2,39,17
2023-10-04 00:00:00+00:00,5,5,34,22
2023-10-05 00:00:00+00:00,23,3,70,31
2023-10-06 00:00:00+00:00,4,2,80,35
2023-10-07 00:00:00+00:00,2,2,63,30
2023-10-08 00:00:00+00:00,2,2,41,27
2023-10-09 00:00:00+00:00,6,5,112,56
2023-10-10 00:00:00+00:00,4,4,178,93
2023-10-11 00:00:00+00:00,2,2,172,74
2023-10-12 00:00:00+00:00,2,2,291,95
