time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-14 00:00:00+00:00,4,4,16,12
2025-05-15 00:00:00+00:00,8,6,26,18
2025-05-16 00:00:00+00:00,9,5,16,14
2025-05-17 00:00:00+00:00,3,3,18,8
2025-05-18 00:00:00+00:00,6,3,7,6
2025-05-19 00:00:00+00:00,10,8,19,14
2025-05-20 00:00:00+00:00,10,6,42,18
2025-05-21 00:00:00+00:00,7,4,9,8
2025-05-22 00:00:00+00:00,13,5,27,17
2025-05-23 00:00:00+00:00,16,7,45,9
2025-05-24 00:00:00+00:00,12,5,4,4
2025-05-25 00:00:00+00:00,13,4,5,5
2025-05-26 00:00:00+00:00,11,5,21,12
2025-05-27 00:00:00+00:00,2,2,18,9
