time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,5,5,8,3
2025-11-26 00:00:00+00:00,8,8,6,6
2025-11-27 00:00:00+00:00,9,9,9,9
2025-11-28 00:00:00+00:00,11,10,13,11
2025-11-29 00:00:00+00:00,24,21,9,8
2025-11-30 00:00:00+00:00,14,11,7,7
2025-12-01 00:00:00+00:00,41,22,19,10
2025-12-02 00:00:00+00:00,35,18,6,6
2025-12-03 00:00:00+00:00,116,31,4,4
2025-12-04 00:00:00+00:00,3,3,8,8
2025-12-05 00:00:00+00:00,8,7,7,5
2025-12-06 00:00:00+00:00,11,7,8,8
2025-12-07 00:00:00+00:00,10,5,3,2
2025-12-08 00:00:00+00:00,3,3,3,3
