time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-17 00:00:00+00:00,9,3,13,10
2025-08-18 00:00:00+00:00,12,5,28,18
2025-08-19 00:00:00+00:00,18,9,16,9
2025-08-20 00:00:00+00:00,11,5,13,10
2025-08-21 00:00:00+00:00,8,2,16,14
2025-08-22 00:00:00+00:00,10,4,15,11
2025-08-23 00:00:00+00:00,15,9,11,6
2025-08-24 00:00:00+00:00,14,7,5,5
2025-08-25 00:00:00+00:00,14,6,9,7
2025-08-26 00:00:00+00:00,11,5,22,12
2025-08-27 00:00:00+00:00,11,5,27,17
2025-08-28 00:00:00+00:00,9,3,12,9
2025-08-29 00:00:00+00:00,10,4,8,7
2025-08-30 00:00:00+00:00,3,3,11,8
