time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-25 00:00:00+00:00,7,7,24,17
2023-05-26 00:00:00+00:00,2,2,77,31
2023-05-27 00:00:00+00:00,2,2,11,8
2023-05-28 00:00:00+00:00,6,5,36,33
2023-05-29 00:00:00+00:00,4,4,56,25
2023-05-30 00:00:00+00:00,3,3,143,18
2023-05-31 00:00:00+00:00,11,8,72,16
2023-06-01 00:00:00+00:00,6,6,29,16
2023-06-02 00:00:00+00:00,12,5,29,16
2023-06-03 00:00:00+00:00,7,5,11,9
2023-06-04 00:00:00+00:00,2,2,19,9
2023-06-05 00:00:00+00:00,4,4,135,13
2023-06-06 00:00:00+00:00,3,3,34,14
2023-06-07 00:00:00+00:00,13,8,386,157
