time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-31 00:00:00+00:00,3,3,71,26
2024-02-01 00:00:00+00:00,4,4,61,25
2024-02-02 00:00:00+00:00,3,3,57,25
2024-02-03 00:00:00+00:00,4,4,32,11
2024-02-04 00:00:00+00:00,2,2,29,7
2024-02-05 00:00:00+00:00,3,3,23,13
2024-02-06 00:00:00+00:00,2,2,35,23
2024-02-07 00:00:00+00:00,2,2,13,13
2024-02-08 00:00:00+00:00,4,4,103,24
2024-02-09 00:00:00+00:00,5,5,97,12
2024-02-10 00:00:00+00:00,2,2,31,11
2024-02-11 00:00:00+00:00,2,2,13,8
2024-02-12 00:00:00+00:00,3,3,15,10
2024-02-13 00:00:00+00:00,2,2,21,12
