time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-25 00:00:00+00:00,13.0,4.0,5,5
2025-05-26 00:00:00+00:00,11.0,5.0,21,12
2025-05-27 00:00:00+00:00,13.0,5.0,18,9
2025-05-28 00:00:00+00:00,18.0,6.0,18,12
2025-05-29 00:00:00+00:00,17.0,5.0,35,19
2025-05-30 00:00:00+00:00,13.0,5.0,35,15
2025-05-31 00:00:00+00:00,13.0,5.0,8,6
2025-06-01 00:00:00+00:00,9.0,3.0,3,3
2025-06-02 00:00:00+00:00,11.0,5.0,15,13
2025-06-03 00:00:00+00:00,14.0,5.0,15,10
2025-06-04 00:00:00+00:00,15.0,6.0,22,13
2025-06-05 00:00:00+00:00,16.0,7.0,16,11
2025-06-06 00:00:00+00:00,17.0,7.0,33,7
2025-06-07 00:00:00+00:00,,,3,3
