time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-31 00:00:00+00:00,15,11,7,5
2026-04-01 00:00:00+00:00,15,10,21,11
2026-04-02 00:00:00+00:00,7,7,16,13
2026-04-03 00:00:00+00:00,44,7,12,9
2026-04-04 00:00:00+00:00,18,10,5,3
2026-04-05 00:00:00+00:00,14,9,9,9
2026-04-06 00:00:00+00:00,14,9,10,10
2026-04-07 00:00:00+00:00,10,5,13,6
2026-04-08 00:00:00+00:00,19,9,10,9
2026-04-09 00:00:00+00:00,20,12,9,9
2026-04-10 00:00:00+00:00,19,9,9,8
2026-04-11 00:00:00+00:00,32,18,9,7
2026-04-12 00:00:00+00:00,23,9,73,72
2026-04-13 00:00:00+00:00,19,13,4,4
