time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-10 00:00:00+00:00,6,4,11,8
2025-05-11 00:00:00+00:00,4,4,7,5
2025-05-12 00:00:00+00:00,8,5,13,12
2025-05-13 00:00:00+00:00,3,3,14,11
2025-05-14 00:00:00+00:00,4,4,16,12
2025-05-15 00:00:00+00:00,8,6,26,18
2025-05-16 00:00:00+00:00,9,5,16,14
2025-05-17 00:00:00+00:00,3,3,18,8
2025-05-18 00:00:00+00:00,6,3,7,6
2025-05-19 00:00:00+00:00,10,8,19,14
2025-05-20 00:00:00+00:00,10,6,42,18
2025-05-21 00:00:00+00:00,7,4,9,8
2025-05-22 00:00:00+00:00,13,5,27,17
2025-05-23 00:00:00+00:00,5,4,45,9
