url_path,views_total,views_unique
/Pythagora-io/pythagora,114,93
/Pythagora-io/pythagora/issues/75,19,5
/Pythagora-io/pythagora/issues,17,8
/Pythagora-io/pythagora/pulls,15,9
/Pythagora-io/pythagora/tree/main/src,8,7
/Pythagora-io/pythagora/tree/main/pythagora_tests/unit/src,5,4
/Pythagora-io/pythagora/commits/main,4,2
/Pythagora-io/pythagora/blob/main/src/docs/integration/README.md,3,3
/Pythagora-io/pythagora/commit/eaecd1bba4ab3cab4f02cc1cad35abc2bc50d389,3,3
/Pythagora-io/pythagora/labels,3,2
