referrer,views_total,views_unique
Google,202,127
github.com,66,42
pythagora.ai,14,10
search.brave.com,9,4
Bing,7,4
youtube.com,6,5
freecodecamp.org,4,3
DuckDuckGo,4,2
t.co,3,3
blog.pythagora.ai,3,2
