time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-28 00:00:00+00:00,4.0,3.0,118,53
2023-07-29 00:00:00+00:00,2.0,2.0,92,31
2023-07-30 00:00:00+00:00,1.0,1.0,26,16
2023-07-31 00:00:00+00:00,7.0,7.0,70,28
2023-08-01 00:00:00+00:00,2.0,2.0,63,34
2023-08-02 00:00:00+00:00,2.0,2.0,128,32
2023-08-03 00:00:00+00:00,2.0,2.0,185,49
2023-08-04 00:00:00+00:00,4.0,4.0,112,32
2023-08-05 00:00:00+00:00,2.0,2.0,33,17
2023-08-06 00:00:00+00:00,4.0,4.0,21,11
2023-08-07 00:00:00+00:00,4.0,4.0,228,60
2023-08-08 00:00:00+00:00,4.0,4.0,108,37
2023-08-09 00:00:00+00:00,6.0,6.0,207,70
2023-08-10 00:00:00+00:00,,,160,36
