time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,12,7,23,11
2025-10-23 00:00:00+00:00,10,5,24,15
2025-10-24 00:00:00+00:00,9,4,16,12
2025-10-25 00:00:00+00:00,12,11,4,3
2025-10-26 00:00:00+00:00,9,9,10,9
2025-10-27 00:00:00+00:00,8,8,34,13
2025-10-28 00:00:00+00:00,6,6,15,8
2025-10-29 00:00:00+00:00,5,4,33,16
2025-10-30 00:00:00+00:00,4,4,19,5
2025-10-31 00:00:00+00:00,14,3,11,9
2025-11-01 00:00:00+00:00,7,7,4,2
2025-11-02 00:00:00+00:00,14,4,12,8
2025-11-03 00:00:00+00:00,7,7,14,6
2025-11-04 00:00:00+00:00,14,3,5,5
