time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-23 00:00:00+00:00,6,6,228,47
2023-10-24 00:00:00+00:00,2,2,157,33
2023-10-25 00:00:00+00:00,3,3,71,39
2023-10-26 00:00:00+00:00,5,5,103,26
2023-10-27 00:00:00+00:00,2,2,62,28
2023-10-28 00:00:00+00:00,4,4,43,12
2023-10-29 00:00:00+00:00,4,4,66,21
2023-10-30 00:00:00+00:00,3,3,48,27
2023-10-31 00:00:00+00:00,3,3,69,24
2023-11-01 00:00:00+00:00,3,3,36,15
2023-11-02 00:00:00+00:00,2,2,48,14
2023-11-03 00:00:00+00:00,6,6,62,24
2023-11-04 00:00:00+00:00,4,4,22,7
2023-11-05 00:00:00+00:00,2,2,25,6
