url_path,views_total,views_unique
/Pythagora-io/pythagora,71,59
/Pythagora-io/pythagora/pulls,12,12
/Pythagora-io/pythagora/issues,3,3
/Pythagora-io/pythagora/actions,2,2
/Pythagora-io/pythagora/commit/709cdd6551f380c21e3e79242627df9c750b6153,2,1
/Pythagora-io/pythagora/actions/runs/15960297558/workflow,1,1
/Pythagora-io/pythagora/activity,1,1
/Pythagora-io/pythagora/blob/main/README.md,1,1
/Pythagora-io/pythagora/blob/main/src/bin/prepublish.js,1,1
/Pythagora-io/pythagora/commit/11842523b42d5ce406be634a52316dfd89534059,1,1
