time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-24 00:00:00+00:00,5,5,124,40
2023-07-25 00:00:00+00:00,2,2,138,42
2023-07-26 00:00:00+00:00,1,1,121,53
2023-07-27 00:00:00+00:00,3,3,141,55
2023-07-28 00:00:00+00:00,4,3,118,53
2023-07-29 00:00:00+00:00,2,2,92,31
2023-07-30 00:00:00+00:00,1,1,26,16
2023-07-31 00:00:00+00:00,7,7,70,28
2023-08-01 00:00:00+00:00,2,2,63,34
2023-08-02 00:00:00+00:00,2,2,128,32
2023-08-03 00:00:00+00:00,2,2,185,49
2023-08-04 00:00:00+00:00,4,4,112,32
2023-08-05 00:00:00+00:00,2,2,33,17
2023-08-06 00:00:00+00:00,2,2,21,11
