url_path,views_total,views_unique
/Pythagora-io/pythagora,413,290
/Pythagora-io/pythagora/tree/main/src,83,21
/Pythagora-io/pythagora/blob/main/src/docs/integration/README.md,27,8
/Pythagora-io/pythagora/issues,20,14
/Pythagora-io/pythagora/tree/main,12,7
/Pythagora-io/pythagora/tree/main/src/commands,10,5
/Pythagora-io/pythagora/commits/main,10,3
/Pythagora-io/pythagora/tree/main/src/utils,8,3
/Pythagora-io/pythagora/tree/main/src/docs/integration,7,3
/Pythagora-io/pythagora/tree/main/.github/workflows,7,2
