time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-10 00:00:00+00:00,6,6,7,2
2026-01-11 00:00:00+00:00,11,6,16,3
2026-01-12 00:00:00+00:00,15,11,10,9
2026-01-13 00:00:00+00:00,7,3,4,3
2026-01-14 00:00:00+00:00,13,5,43,42
2026-01-15 00:00:00+00:00,18,10,29,22
2026-01-16 00:00:00+00:00,8,4,4,4
2026-01-17 00:00:00+00:00,14,10,5,3
2026-01-18 00:00:00+00:00,2,2,2,2
2026-01-19 00:00:00+00:00,10,6,12,8
2026-01-20 00:00:00+00:00,15,7,11,8
2026-01-21 00:00:00+00:00,21,9,10,8
2026-01-22 00:00:00+00:00,15,7,9,8
2026-01-23 00:00:00+00:00,18,9,13,11
