referrer,views_total,views_unique
Google,57,45
github.com,26,21
chatgpt.com,24,9
search.brave.com,5,5
Bing,5,3
yandex.by,5,1
pythagora.ai,4,4
openalternative.co,3,3
trendshift.io,3,1
ya.ru,3,1
