time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-17 00:00:00+00:00,8,5,24,13
2025-04-18 00:00:00+00:00,7,4,12,10
2025-04-19 00:00:00+00:00,6,4,4,4
2025-04-20 00:00:00+00:00,9,5,13,12
2025-04-21 00:00:00+00:00,8,6,11,8
2025-04-22 00:00:00+00:00,4,4,16,13
2025-04-23 00:00:00+00:00,4,3,25,19
2025-04-24 00:00:00+00:00,7,4,21,14
2025-04-25 00:00:00+00:00,8,4,12,10
2025-04-26 00:00:00+00:00,3,3,2,2
2025-04-27 00:00:00+00:00,5,3,11,8
2025-04-28 00:00:00+00:00,3,3,9,8
2025-04-29 00:00:00+00:00,8,7,15,8
2025-04-30 00:00:00+00:00,3,3,7,7
