time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-27 00:00:00+00:00,8,4,7,6
2026-02-28 00:00:00+00:00,18,9,11,11
2026-03-01 00:00:00+00:00,18,7,6,4
2026-03-02 00:00:00+00:00,16,11,5,5
2026-03-03 00:00:00+00:00,19,10,7,7
2026-03-04 00:00:00+00:00,9,5,8,7
2026-03-05 00:00:00+00:00,5,4,16,12
2026-03-06 00:00:00+00:00,14,6,8,6
2026-03-07 00:00:00+00:00,10,6,3,2
2026-03-08 00:00:00+00:00,16,7,4,3
2026-03-09 00:00:00+00:00,9,5,4,4
2026-03-10 00:00:00+00:00,10,5,10,8
2026-03-11 00:00:00+00:00,13,7,3,3
2026-03-12 00:00:00+00:00,16,11,12,8
