time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-19 00:00:00+00:00,4,4,22,12
2025-02-20 00:00:00+00:00,2,2,23,15
2025-02-21 00:00:00+00:00,4,2,12,7
2025-02-22 00:00:00+00:00,5,2,23,17
2025-02-23 00:00:00+00:00,3,2,14,13
2025-02-24 00:00:00+00:00,3,3,27,11
2025-02-25 00:00:00+00:00,1,1,38,26
2025-02-26 00:00:00+00:00,5,5,58,21
2025-02-27 00:00:00+00:00,6,4,15,13
2025-02-28 00:00:00+00:00,4,2,11,9
2025-03-01 00:00:00+00:00,4,3,8,7
2025-03-02 00:00:00+00:00,5,2,8,7
2025-03-03 00:00:00+00:00,1,1,95,15
2025-03-04 00:00:00+00:00,16,14,30,14
