time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-02 00:00:00+00:00,2.0,2.0,48,14
2023-11-03 00:00:00+00:00,6.0,6.0,62,24
2023-11-04 00:00:00+00:00,4.0,4.0,22,7
2023-11-05 00:00:00+00:00,4.0,4.0,27,7
2023-11-06 00:00:00+00:00,6.0,5.0,62,24
2023-11-07 00:00:00+00:00,2.0,2.0,50,23
2023-11-08 00:00:00+00:00,3.0,3.0,106,22
2023-11-09 00:00:00+00:00,2.0,2.0,66,22
2023-11-10 00:00:00+00:00,1.0,1.0,58,16
2023-11-11 00:00:00+00:00,4.0,4.0,26,7
2023-11-12 00:00:00+00:00,2.0,2.0,28,10
2023-11-13 00:00:00+00:00,4.0,4.0,37,17
2023-11-14 00:00:00+00:00,3.0,3.0,82,17
2023-11-15 00:00:00+00:00,,,88,19
